name_id,person_id,name_text,language,source_scope,status
"name-0413","nt-people-0156","Χριστός","en","canonical","accepted"
"name-0414","nt-people-0156","Χριστιανός","en","alias","accepted"
"name-0415","nt-people-0156","עִמָּנוּאֵל","en","canonical","pending"
"name-0416","nt-people-0156","Ἐμμανουήλ","grc","alias","accepted"
"name-0417","nt-people-0157","Jezebel","en","canonical","accepted"
"name-0418","nt-people-0157","אִיזֶבֶל","en","canonical","pending"
"name-0419","nt-people-0157","Ἰεζαβήλ","grc","alias","accepted"
"name-0420","nt-people-0158","Joanan","en","canonical","accepted"
"name-0421","nt-people-0158","Ἰωαννᾶς","en","canonical","accepted"
"name-0422","nt-people-0159","Joanna","en","canonical","accepted"
"name-0423","nt-people-0159","Ἰωάννα, Ἰωανάν","en","canonical","accepted"
"name-0424","nt-people-0160","Job","en","canonical","accepted"
"name-0425","nt-people-0160","אִיּוֹב","en","canonical","pending"
"name-0426","nt-people-0160","Ἰώβ","grc","alias","accepted"
"name-0427","nt-people-0161","Joda","en","canonical","accepted"
"name-0428","nt-people-0161","Ἰωδά","en","canonical","accepted"
